split,method,error,identity_error,improvement_vs_identity,ratio_vs_identity,alpha_mean,alpha_std
val,identity,1.4321844577789307,1.4321844577789307,0.0,1.0,0.0,0.0
val,raw_residual_alpha_1,1.451261043548584,1.4321844577789307,-0.01907658576965332,1.0133199223508107,1.0,0.0
val,global_alpha_val,1.4239695072174072,1.4321844577789307,0.008214950561523438,0.9942640415367561,0.35000000000000003,0.0
val,conditional_alpha_raw,1.42780339717865,1.4321844577789307,0.004381060600280762,0.9969409941739802,0.5529288649559021,0.18530282378196716
val,conditional_alpha_mixed_with_global,1.4238580465316772,1.4321844577789307,0.008326411247253418,0.9941862158871866,0.3784100413322449,0.025942396372556686
val,conditional_alpha_affine_calibrated,1.423750638961792,1.4321844577789307,0.008433818817138672,0.9941112202612378,0.3514079451560974,0.057443875819444656
val,oracle_per_sample_alpha,1.4037489891052246,1.4321844577789307,0.028435468673706055,0.9801453866369947,0.2747311592102051,0.3464423716068268
test,identity,1.6069767475128174,1.6069767475128174,0.0,1.0,0.0,0.0
test,raw_residual_alpha_1,1.6204662322998047,1.6069767475128174,-0.013489484786987305,1.0083943248138876,1.0,0.0
test,global_alpha_val,1.5991731882095337,1.6069767475128174,0.007803559303283691,0.9951439500818157,0.35000000000000003,0.0
test,conditional_alpha_raw,1.6012918949127197,1.6069767475128174,0.005684852600097656,0.9964623927453236,0.5361373424530029,0.17436043918132782
test,conditional_alpha_mixed_with_global,1.599000334739685,1.6069767475128174,0.007976412773132324,0.9950363856941441,0.37605923414230347,0.024410462006926537
test,conditional_alpha_affine_calibrated,1.5989729166030884,1.6069767475128174,0.008003830909729004,0.9950193237567894,0.3462025821208954,0.05405173823237419
test,oracle_per_sample_alpha,1.583669900894165,1.6069767475128174,0.023306846618652344,0.9854964630603863,0.2922458350658417,0.33515414595603943
