split,method,error,identity_error,improvement_vs_identity,ratio_vs_identity,alpha_mean,alpha_std
val,identity,1.4321844577789307,1.4321844577789307,0.0,1.0,0.0,0.0
val,raw_residual_alpha_1,1.4481576681137085,1.4321844577789307,-0.015973210334777832,1.011153039853225,1.0,0.0
val,global_alpha_val,1.4231507778167725,1.4321844577789307,0.009033679962158203,0.9936923767653729,0.38,0.0
val,conditional_alpha_raw,1.4276032447814941,1.4321844577789307,0.0045812129974365234,0.9968012409487105,0.585425853729248,0.18814197182655334
val,conditional_alpha_mixed_with_global,1.423107385635376,1.4321844577789307,0.009077072143554688,0.9936620788654336,0.3984883427619934,0.01693277806043625
val,conditional_alpha_affine_calibrated,1.4230233430862427,1.4321844577789307,0.009161114692687988,0.9936033974932983,0.37464794516563416,0.043272651731967926
val,oracle_per_sample_alpha,1.402066707611084,1.4321844577789307,0.03011775016784668,0.9789707603624228,0.2821408212184906,0.34844234585762024
test,identity,1.6069767475128174,1.6069767475128174,0.0,1.0,0.0,0.0
test,raw_residual_alpha_1,1.626889705657959,1.6069767475128174,-0.0199129581451416,1.0123915658244351,1.0,0.0
test,global_alpha_val,1.59995436668396,1.6069767475128174,0.007022380828857422,0.9956300669317548,0.38,0.0
test,conditional_alpha_raw,1.6047695875167847,1.6069767475128174,0.002207159996032715,0.9986265140429388,0.5893852114677429,0.1756773442029953
test,conditional_alpha_mixed_with_global,1.5999910831451416,1.6069767475128174,0.006985664367675781,0.9956529150913429,0.3988446891307831,0.01581096090376377
test,conditional_alpha_affine_calibrated,1.5997897386550903,1.6069767475128174,0.007187008857727051,0.9955276211252897,0.3755585849285126,0.04040578752756119
test,oracle_per_sample_alpha,1.584238886833191,1.6069767475128174,0.022737860679626465,0.9858505353516666,0.2740359306335449,0.3267611861228943
