split,model,rule,alpha,error,identity_error,improvement_vs_identity,ratio_vs_identity
val,cheap_residual,raw_alpha_1,1.0,1.451741099357605,1.4321845769882202,-0.019556522369384766,1.0136550293053084
val,cheap_residual,oracle_best_alpha_on_this_split,0.36,1.4227077960968018,1.4321845769882202,0.009476780891418457,0.9933829891456117
val,cheap_residual,alpha_selected_on_val,0.36,1.4227077960968018,1.4321845769882202,0.009476780891418457,0.9933829891456117
val,expensive_residual,raw_alpha_1,1.0,1.443634271621704,1.4321845769882202,-0.011449694633483887,1.0079945663551004
val,expensive_residual,oracle_best_alpha_on_this_split,0.34,1.428076982498169,1.4321845769882202,0.0041075944900512695,0.9971319377711152
val,expensive_residual,alpha_selected_on_val,0.34,1.428076982498169,1.4321845769882202,0.0041075944900512695,0.9971319377711152
test,cheap_residual,raw_alpha_1,1.0,1.6287990808486938,1.6069767475128174,-0.021822333335876465,1.0135797443053558
test,cheap_residual,oracle_best_alpha_on_this_split,0.34,1.5988050699234009,1.6069767475128174,0.008171677589416504,0.9949148750272435
test,cheap_residual,alpha_selected_on_val,0.36,1.5988246202468872,1.6069767475128174,0.008152127265930176,0.9949270409304009
test,expensive_residual,raw_alpha_1,1.0,1.619688630104065,1.6069767475128174,-0.012711882591247559,1.0079104334340383
test,expensive_residual,oracle_best_alpha_on_this_split,0.3,1.604169487953186,1.6069767475128174,0.0028072595596313477,0.9982530801618777
test,expensive_residual,alpha_selected_on_val,0.34,1.6042240858078003,1.6069767475128174,0.00275266170501709,0.9982870556719147
