split,model,rule,alpha,error,identity_error,improvement_vs_identity,ratio_vs_identity
val,cheap_residual,raw_alpha_1,1.0,1.448157548904419,1.4321845769882202,-0.01597297191619873,1.0111528724529268
val,cheap_residual,oracle_best_alpha_on_this_split,0.38,1.423150658607483,1.4321845769882202,0.009033918380737305,0.9936922108184303
val,cheap_residual,alpha_selected_on_val,0.38,1.423150658607483,1.4321845769882202,0.009033918380737305,0.9936922108184303
val,expensive_residual,raw_alpha_1,1.0,1.448026418685913,1.4321845769882202,-0.01584184169769287,1.0110613128728192
val,expensive_residual,oracle_best_alpha_on_this_split,0.33,1.427093744277954,1.4321845769882202,0.005090832710266113,0.9964454073922708
val,expensive_residual,alpha_selected_on_val,0.33,1.427093744277954,1.4321845769882202,0.005090832710266113,0.9964454073922708
test,cheap_residual,raw_alpha_1,1.0,1.626889705657959,1.6069767475128174,-0.0199129581451416,1.0123915658244351
test,cheap_residual,oracle_best_alpha_on_this_split,0.34,1.5998512506484985,1.6069767475128174,0.007125496864318848,0.9955658992108335
test,cheap_residual,alpha_selected_on_val,0.38,1.59995436668396,1.6069767475128174,0.007022380828857422,0.9956300669317548
test,expensive_residual,raw_alpha_1,1.0,1.6213048696517944,1.6069767475128174,-0.01432812213897705,1.0089161975499354
test,expensive_residual,oracle_best_alpha_on_this_split,0.31,1.6033121347427368,1.6069767475128174,0.0036646127700805664,0.9977195607990268
test,expensive_residual,alpha_selected_on_val,0.33,1.6033258438110352,1.6069767475128174,0.0036509037017822266,0.9977280917677043
